Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Non-Travel,<20,Current Employees,Human Resources,Life Sciences,34776,Male,Research Scientist,Married,Yes,5,58,Yes,1384,33,Associates Degree,1,82,4,3,5,5541,17553,1,13,3,1,80,2,37,2,14,4,3,11
No,Non-Travel,40-50,Current Employees,Research & Development,Marketing,39110,Female,Sales Executive,Single,No,6,55,No,187,6,Bachelor's Degree,5,111,2,4,3,5363,14056,10,38,5,3,80,3,8,2,24,2,6,5
No,Travel_Frequently,50+,Ex-Employees,Sales,Technical Degree,56286,Female,Human Resources,Single,Yes,5,38,No,546,31,Master's Degree,4,109,4,3,3,11222,28018,0,28,3,3,80,1,9,3,29,15,13,2
No,Travel_Rarely,30-40,Current Employees,Human Resources,Medical,90557,Female,Laboratory Technician,Divorced,Yes,0,23,Yes,706,49,Associates Degree,5,46,3,5,1,13281,25049,8,24,2,3,80,0,26,5,40,11,8,9
No,Travel_Rarely,30-40,Ex-Employees,Sales,Technical Degree,97142,Male,Research Scientist,Single,Yes,5,37,No,810,4,Master's Degree,3,87,3,2,3,2628,25695,9,14,5,1,80,3,36,5,32,19,15,15
No,Travel_Rarely,20-30,Ex-Employees,Research & Development,Marketing,53685,Female,Human Resources,Married,No,4,40,No,1290,3,Master's Degree,5,63,3,5,4,16370,15604,7,36,1,4,80,1,29,2,3,5,14,6
No,Travel_Rarely,20-30,Ex-Employees,Research & Development,Marketing,53684,Male,Manager,Divorced,No,5,37,No,844,24,Master's Degree,3,82,3,4,5,3426,29914,8,24,3,4,80,0,25,4,30,19,8,6
No,Travel_Frequently,40-50,Ex-Employees,Sales,Other,69878,Male,Manager,Married,No,2,43,Yes,1082,9,Master's Degree,4,55,2,2,2,4114,22022,5,10,4,4,80,2,25,3,27,12,11,17
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Technical Degree,29113,Female,Healthcare Representative,Divorced,No,6,37,Yes,836,29,Master's Degree,2,33,5,4,2,11293,20827,1,16,1,1,80,2,3,5,18,3,9,16
No,Travel_Frequently,<20,Ex-Employees,Human Resources,Marketing,29164,Male,Sales Representative,Single,No,3,38,No,437,33,Associates Degree,1,114,2,1,5,4670,21817,4,12,5,2,80,1,38,2,36,19,2,10
No,Travel_Rarely,50+,Ex-Employees,Sales,Marketing,28776,Male,Healthcare Representative,Divorced,No,1,59,Yes,1152,15,Doctoral Degree,3,103,2,5,3,16778,12948,5,21,1,1,80,0,21,3,27,19,1,5
No,Non-Travel,40-50,Ex-Employees,Research & Development,Marketing,21650,Female,Manager,Single,No,2,52,Yes,1194,34,Doctoral Degree,1,49,3,4,1,1303,28045,8,24,2,4,80,2,21,5,15,9,9,18
No,Non-Travel,<20,Ex-Employees,Research & Development,Medical,37653,Male,Sales Representative,Divorced,Yes,6,43,Yes,692,30,Bachelor's Degree,1,85,3,4,3,3142,17048,3,30,5,3,80,0,40,3,22,0,10,4
No,Travel_Frequently,50+,Ex-Employees,Human Resources,Medical,75516,Male,Sales Representative,Married,No,3,47,Yes,770,49,Associates Degree,4,50,4,1,5,13416,14292,10,35,1,5,80,3,39,3,17,11,3,16
No,Travel_Rarely,<20,Ex-Employees,Research & Development,Other,98937,Female,Healthcare Representative,Single,Yes,2,54,Yes,1350,17,Doctoral Degree,2,115,3,4,3,13122,15107,8,13,1,2,80,0,25,2,2,13,5,8
No,Non-Travel,40-50,Ex-Employees,Research & Development,Life Sciences,72550,Male,Sales Representative,Married,Yes,6,28,No,1118,15,Associates Degree,5,32,1,2,1,16557,29016,1,29,3,2,80,0,30,2,7,14,12,1
No,Travel_Rarely,40-50,Ex-Employees,Sales,Technical Degree,34726,Female,Sales Executive,Divorced,No,4,33,No,673,45,Master's Degree,1,62,3,2,4,7080,24389,6,15,2,2,80,3,32,4,28,19,0,16
No,Travel_Frequently,20-30,Current Employees,Research & Development,Life Sciences,92486,Male,Laboratory Technician,Single,Yes,2,25,No,921,48,Associates Degree,5,91,1,3,5,19282,18819,5,28,3,1,80,1,31,4,6,10,10,15
No,Travel_Rarely,20-30,Current Employees,Research & Development,Life Sciences,53048,Male,Research Scientist,Married,No,6,53,Yes,1317,10,Doctoral Degree,2,110,4,2,5,9395,12626,10,33,5,4,80,2,24,2,37,6,10,17
No,Travel_Frequently,30-40,Ex-Employees,Research & Development,Life Sciences,77383,Male,Human Resources,Married,Yes,3,55,Yes,1155,37,Bachelor's Degree,5,77,4,2,2,3302,14965,0,25,2,3,80,2,36,3,7,3,1,19
No,Travel_Frequently,20-30,Current Employees,Research & Development,Life Sciences,35311,Female,Research Scientist,Married,Yes,2,28,Yes,1470,36,Associates Degree,1,94,4,2,5,11623,18233,2,38,2,5,80,0,3,2,20,6,0,4
No,Non-Travel,<20,Ex-Employees,Research & Development,Life Sciences,45543,Female,Laboratory Technician,Divorced,Yes,3,30,No,224,21,Associates Degree,5,61,5,4,3,18923,10305,6,38,5,4,80,3,37,2,39,2,14,5
No,Non-Travel,50+,Current Employees,Research & Development,Life Sciences,73705,Male,Manager,Divorced,Yes,3,19,Yes,326,47,Master's Degree,2,51,4,4,3,1679,12307,7,11,3,2,80,1,36,1,17,15,12,5
No,Travel_Rarely,20-30,Current Employees,Research & Development,Other,74098,Male,Healthcare Representative,Single,Yes,2,40,Yes,1286,2,Doctoral Degree,5,69,4,2,5,6442,20686,5,31,3,3,80,1,12,4,9,13,7,11
No,Travel_Rarely,50+,Current Employees,Sales,Marketing,32531,Female,Research Scientist,Divorced,No,1,52,Yes,1051,21,Bachelor's Degree,4,117,2,2,3,2756,22866,10,20,3,3,80,3,21,4,8,6,0,16
No,Non-Travel,50+,Current Employees,Sales,Medical,39450,Male,Laboratory Technician,Divorced,No,2,56,No,1454,42,Associates Degree,3,74,4,2,5,6331,14324,7,26,2,5,80,0,16,1,32,4,8,1
No,Non-Travel,20-30,Current Employees,Human Resources,Marketing,91294,Female,Healthcare Representative,Married,No,1,55,No,520,37,Bachelor's Degree,1,83,3,1,2,17885,10309,6,33,3,5,80,3,20,1,2,10,14,15
No,Non-Travel,30-40,Current Employees,Sales,Other,90201,Male,Sales Representative,Single,No,3,32,Yes,125,3,Bachelor's Degree,2,95,1,5,5,18927,19657,2,18,5,3,80,0,11,4,21,1,6,19
No,Travel_Rarely,<20,Ex-Employees,Sales,Marketing,2961,Male,Human Resources,Single,No,3,20,No,647,16,Master's Degree,2,102,2,2,1,18645,14440,4,13,5,2,80,3,28,5,20,8,3,5
No,Travel_Rarely,30-40,Ex-Employees,Sales,Medical,45157,Male,Manager,Divorced,Yes,5,48,Yes,293,39,Master's Degree,2,104,1,3,5,13886,26905,5,32,2,1,80,2,16,4,15,0,15,5
No,Non-Travel,50+,Current Employees,Sales,Medical,18873,Male,Sales Executive,Divorced,Yes,0,56,No,589,38,Master's Degree,2,86,3,1,1,10329,28149,6,29,2,4,80,2,4,2,30,14,5,6
No,Travel_Frequently,30-40,Current Employees,Research & Development,Marketing,70034,Male,Research Scientist,Married,No,0,58,No,492,24,Associates Degree,2,101,4,5,1,15852,23098,5,20,5,5,80,1,27,3,17,18,13,10
No,Non-Travel,40-50,Current Employees,Sales,Technical Degree,39597,Male,Sales Representative,Married,No,2,56,Yes,898,17,Bachelor's Degree,1,84,3,3,2,4668,12395,0,30,3,1,80,0,28,2,23,0,0,8
No,Travel_Frequently,20-30,Current Employees,Sales,Marketing,22553,Male,Healthcare Representative,Divorced,No,2,21,Yes,446,6,Bachelor's Degree,2,94,5,4,1,5013,15082,2,28,3,2,80,0,17,5,23,9,14,16
No,Travel_Rarely,<20,Current Employees,Human Resources,Medical,12614,Male,Laboratory Technician,Single,No,3,38,No,1253,46,Doctoral Degree,3,83,3,2,3,4929,19431,7,28,5,2,80,0,13,1,39,10,12,2
No,Non-Travel,40-50,Ex-Employees,Research & Development,Life Sciences,54772,Male,Research Scientist,Single,No,5,25,No,472,11,Bachelor's Degree,3,40,4,1,1,4903,28029,6,18,5,2,80,1,28,2,34,7,10,12
No,Travel_Frequently,20-30,Ex-Employees,Research & Development,Medical,70269,Male,Human Resources,Married,No,1,21,Yes,1205,34,Master's Degree,3,38,4,2,5,19613,19803,4,33,2,2,80,3,30,5,2,9,3,15
No,Non-Travel,30-40,Current Employees,Human Resources,Technical Degree,21140,Male,Sales Executive,Single,Yes,5,56,No,754,42,Associates Degree,3,79,3,2,5,13320,18538,6,17,4,2,80,3,3,2,2,15,10,1
No,Travel_Frequently,40-50,Ex-Employees,Sales,Life Sciences,31429,Female,Healthcare Representative,Divorced,No,2,56,No,1309,3,Bachelor's Degree,5,75,2,5,2,8467,28643,5,13,1,4,80,2,32,5,7,12,10,18
No,Non-Travel,<20,Ex-Employees,Human Resources,Technical Degree,36689,Male,Healthcare Representative,Divorced,Yes,2,54,No,1230,21,Doctoral Degree,1,87,1,4,2,14196,29552,6,40,2,5,80,2,17,3,9,1,3,15
No,Travel_Frequently,<20,Ex-Employees,Research & Development,Technical Degree,64003,Male,Manager,Single,Yes,4,31,No,1307,29,Bachelor's Degree,4,87,1,5,2,12432,26174,1,32,2,1,80,0,24,5,5,18,6,20
No,Travel_Frequently,20-30,Ex-Employees,Research & Development,Other,48687,Female,Manager,Divorced,Yes,2,25,No,1427,42,Associates Degree,5,48,2,2,5,5756,14340,9,32,3,1,80,1,22,4,11,13,9,7
No,Travel_Frequently,40-50,Current Employees,Research & Development,Marketing,58051,Female,Manager,Married,No,1,41,Yes,262,17,Bachelor's Degree,3,88,5,2,3,3028,20054,5,27,2,3,80,2,9,1,5,1,12,17
No,Non-Travel,30-40,Ex-Employees,Sales,Technical Degree,51486,Female,Sales Representative,Divorced,No,3,42,No,1273,29,Master's Degree,4,119,1,5,2,2366,10167,3,18,3,5,80,1,12,1,9,11,13,3
No,Non-Travel,40-50,Ex-Employees,Human Resources,Marketing,30652,Female,Healthcare Representative,Married,No,0,44,Yes,543,2,Doctoral Degree,2,34,2,3,3,13827,22313,2,25,3,5,80,1,2,2,39,4,10,17
No,Non-Travel,20-30,Ex-Employees,Research & Development,Technical Degree,5172,Male,Human Resources,Married,Yes,5,35,Yes,1188,19,Associates Degree,1,66,3,3,5,3395,10643,8,14,2,3,80,0,33,4,34,5,8,15
No,Travel_Rarely,30-40,Current Employees,Human Resources,Life Sciences,17493,Female,Human Resources,Married,No,4,29,No,1015,37,Bachelor's Degree,1,117,5,5,3,4266,14576,7,12,2,3,80,1,12,3,30,16,2,1
No,Non-Travel,20-30,Current Employees,Sales,Other,86761,Female,Healthcare Representative,Single,Yes,0,32,No,190,13,Master's Degree,4,64,5,4,5,10947,29058,4,15,4,5,80,1,5,1,11,17,4,10
No,Travel_Rarely,20-30,Current Employees,Sales,Life Sciences,92072,Male,Laboratory Technician,Divorced,No,2,56,Yes,1198,15,Associates Degree,1,64,4,3,3,10515,24492,2,28,2,1,80,2,18,3,3,11,8,18
No,Travel_Rarely,40-50,Ex-Employees,Human Resources,Medical,14326,Female,Healthcare Representative,Married,No,4,35,Yes,380,31,Doctoral Degree,3,46,4,2,3,3297,24285,9,17,2,1,80,3,33,4,29,4,0,14
No,Travel_Rarely,20-30,Current Employees,Research & Development,Medical,93200,Female,Human Resources,Divorced,Yes,5,21,Yes,429,26,Doctoral Degree,5,45,3,5,4,10079,12988,0,21,2,3,80,1,12,4,22,16,12,17
No,Non-Travel,50+,Ex-Employees,Sales,Other,82104,Female,Sales Representative,Married,No,5,37,No,932,28,Doctoral Degree,3,96,1,1,2,17721,26424,1,17,2,1,80,0,10,5,9,12,4,8
No,Travel_Rarely,<20,Current Employees,Research & Development,Technical Degree,18786,Female,Sales Representative,Divorced,No,4,30,No,931,36,Master's Degree,2,98,2,1,3,16732,29763,5,35,2,4,80,3,29,3,34,1,9,18
No,Non-Travel,40-50,Ex-Employees,Research & Development,Technical Degree,95937,Male,Manager,Divorced,No,6,46,No,1161,37,Associates Degree,3,52,5,2,2,11420,22092,4,25,2,5,80,1,5,4,39,3,9,3
No,Travel_Frequently,50+,Current Employees,Sales,Marketing,97914,Male,Manager,Married,No,5,59,Yes,511,49,Master's Degree,2,62,2,2,5,7020,15541,8,25,3,3,80,2,10,5,33,14,1,11
No,Travel_Frequently,20-30,Current Employees,Research & Development,Medical,83254,Male,Manager,Single,No,6,29,No,1418,24,Associates Degree,1,66,3,5,3,19139,15632,9,39,5,3,80,3,7,4,27,11,8,3
No,Travel_Rarely,50+,Current Employees,Human Resources,Marketing,1185,Female,Manager,Divorced,No,1,34,No,402,28,Associates Degree,3,33,1,3,4,19755,24339,1,34,4,3,80,3,10,1,17,1,13,1
No,Non-Travel,30-40,Ex-Employees,Research & Development,Technical Degree,43365,Female,Research Scientist,Divorced,Yes,3,51,No,1325,36,Bachelor's Degree,5,100,5,4,1,11950,10361,1,10,5,2,80,2,31,4,20,14,5,13
No,Travel_Frequently,30-40,Ex-Employees,Research & Development,Marketing,63453,Female,Research Scientist,Divorced,Yes,6,32,No,991,29,Master's Degree,3,98,2,5,1,16746,18591,1,11,4,3,80,0,24,2,37,5,10,14
No,Non-Travel,<20,Ex-Employees,Research & Development,Marketing,36669,Female,Human Resources,Divorced,Yes,5,35,No,144,40,Doctoral Degree,3,106,4,1,5,4287,17068,6,32,1,2,80,1,0,3,25,3,5,5
No,Non-Travel,30-40,Current Employees,Research & Development,Technical Degree,13172,Female,Sales Representative,Single,Yes,2,46,No,268,4,Associates Degree,3,108,5,5,1,11074,14536,4,35,4,2,80,0,26,2,34,20,11,13
No,Travel_Frequently,40-50,Ex-Employees,Human Resources,Other,38251,Female,Manager,Divorced,No,5,26,No,1065,9,Doctoral Degree,3,32,4,5,5,19834,20623,3,15,5,4,80,0,33,2,31,10,3,0
No,Travel_Rarely,20-30,Current Employees,Human Resources,Other,88679,Female,Human Resources,Married,Yes,2,20,No,696,23,Bachelor's Degree,4,55,1,3,1,13698,28296,5,21,1,4,80,3,32,5,2,11,11,18
No,Non-Travel,20-30,Ex-Employees,Sales,Marketing,72875,Female,Human Resources,Divorced,Yes,0,44,No,1173,7,Bachelor's Degree,3,65,3,3,5,16132,24526,9,15,2,4,80,2,36,3,24,0,13,10
No,Non-Travel,40-50,Current Employees,Sales,Technical Degree,95799,Male,Research Scientist,Single,Yes,2,59,Yes,341,16,Associates Degree,4,70,2,2,3,10084,21474,6,11,5,5,80,3,9,3,14,13,12,7
No,Travel_Rarely,30-40,Current Employees,Research & Development,Medical,42630,Male,Human Resources,Divorced,No,3,59,Yes,562,16,Associates Degree,1,115,1,4,2,11427,24841,6,32,3,2,80,1,3,1,14,17,1,0
No,Non-Travel,50+,Current Employees,Sales,Life Sciences,4738,Male,Laboratory Technician,Married,Yes,5,24,No,548,33,Master's Degree,3,73,5,2,5,9469,20148,3,35,4,4,80,3,12,2,0,16,7,17
No,Travel_Rarely,50+,Ex-Employees,Human Resources,Technical Degree,18646,Female,Healthcare Representative,Married,No,1,25,Yes,103,8,Doctoral Degree,1,42,5,2,3,17180,23347,9,26,1,5,80,1,37,1,26,6,12,14
No,Non-Travel,<20,Ex-Employees,Research & Development,Life Sciences,38533,Male,Manager,Divorced,No,0,42,No,771,4,Associates Degree,3,86,4,5,3,19234,15689,6,28,2,1,80,0,10,2,34,18,12,7
No,Travel_Rarely,40-50,Ex-Employees,Research & Development,Marketing,24849,Female,Sales Representative,Divorced,Yes,1,23,Yes,1158,10,Associates Degree,4,104,2,5,3,12067,28011,10,27,3,5,80,3,0,5,31,1,9,4
No,Non-Travel,20-30,Current Employees,Sales,Marketing,76547,Male,Sales Representative,Single,Yes,5,56,No,866,34,Doctoral Degree,5,88,1,2,1,6812,29880,1,26,2,2,80,0,17,5,19,17,14,1
No,Travel_Frequently,20-30,Current Employees,Human Resources,Medical,84928,Female,Laboratory Technician,Married,Yes,5,50,Yes,945,2,Associates Degree,5,77,5,5,1,4335,10796,3,16,5,2,80,0,32,1,16,12,14,9
No,Non-Travel,30-40,Current Employees,Sales,Life Sciences,40714,Male,Sales Representative,Divorced,No,5,18,Yes,599,6,Bachelor's Degree,2,74,4,4,2,17286,17867,5,20,4,2,80,1,21,5,9,14,7,1
No,Travel_Rarely,20-30,Ex-Employees,Research & Development,Marketing,66694,Female,Healthcare Representative,Married,No,3,30,No,928,8,Master's Degree,3,47,5,4,5,8387,16808,1,18,2,4,80,2,18,2,29,10,9,5
No,Travel_Frequently,50+,Current Employees,Research & Development,Medical,92882,Male,Sales Representative,Single,No,3,59,No,964,3,Bachelor's Degree,2,39,4,4,3,18076,15175,8,21,1,5,80,3,36,4,36,3,14,10
No,Non-Travel,50+,Current Employees,Sales,Other,71791,Female,Healthcare Representative,Divorced,No,0,44,No,1269,9,Bachelor's Degree,4,84,1,5,4,3695,11054,9,11,1,3,80,0,3,5,34,13,10,19
No,Travel_Rarely,50+,Ex-Employees,Sales,Medical,88849,Female,Healthcare Representative,Married,No,3,39,No,701,31,Doctoral Degree,1,35,4,5,5,9325,29738,1,16,4,4,80,2,26,5,24,7,6,15
No,Travel_Rarely,40-50,Ex-Employees,Research & Development,Marketing,4524,Male,Research Scientist,Single,Yes,0,39,Yes,670,8,Bachelor's Degree,1,67,4,3,5,5790,14308,8,36,4,1,80,3,16,2,30,3,0,18
No,Travel_Frequently,50+,Current Employees,Sales,Life Sciences,58532,Female,Manager,Married,No,4,31,No,664,7,Master's Degree,1,120,1,3,1,13411,15108,2,32,4,4,80,3,37,2,21,3,12,17
No,Travel_Rarely,<20,Current Employees,Human Resources,Technical Degree,30090,Male,Research Scientist,Single,Yes,3,59,No,1136,2,Associates Degree,4,86,5,4,3,1520,11119,4,25,2,4,80,0,20,3,24,2,15,1
No,Non-Travel,50+,Ex-Employees,Human Resources,Medical,14436,Female,Human Resources,Single,Yes,3,44,No,825,13,Master's Degree,2,47,1,2,2,14869,10447,5,11,3,1,80,0,9,2,2,15,2,14
No,Non-Travel,20-30,Current Employees,Sales,Life Sciences,251,Female,Sales Executive,Single,No,3,57,Yes,1429,12,Associates Degree,5,39,1,2,4,11917,11757,6,25,2,4,80,1,2,1,26,15,12,1
No,Travel_Frequently,20-30,Current Employees,Sales,Medical,73700,Male,Healthcare Representative,Divorced,No,2,38,Yes,713,16,Doctoral Degree,2,49,3,4,5,7944,14728,2,20,5,3,80,0,23,2,21,14,8,17
No,Travel_Rarely,<20,Ex-Employees,Research & Development,Life Sciences,26073,Female,Laboratory Technician,Married,No,4,60,No,881,22,Bachelor's Degree,3,58,1,4,2,16058,11708,8,31,5,4,80,3,12,5,33,18,3,20
No,Travel_Frequently,<20,Current Employees,Research & Development,Other,25949,Female,Human Resources,Divorced,No,6,44,No,541,37,Bachelor's Degree,2,90,1,2,4,6005,15355,1,24,2,2,80,0,10,3,8,16,15,13
No,Travel_Rarely,20-30,Ex-Employees,Sales,Technical Degree,57860,Female,Human Resources,Divorced,No,3,31,Yes,586,5,Doctoral Degree,2,40,1,4,5,8133,20964,7,25,5,2,80,2,27,4,12,1,7,16
No,Travel_Frequently,50+,Current Employees,Research & Development,Technical Degree,80533,Female,Human Resources,Single,Yes,6,40,No,703,26,Associates Degree,3,120,3,5,1,7034,27211,7,16,3,1,80,0,35,5,28,2,8,8
No,Non-Travel,50+,Ex-Employees,Research & Development,Marketing,27030,Female,Manager,Single,No,5,30,No,1258,15,Associates Degree,4,102,1,3,1,6372,24761,6,25,1,2,80,2,3,2,24,5,7,6
No,Travel_Frequently,<20,Current Employees,Research & Development,Medical,65981,Female,Research Scientist,Single,No,0,39,Yes,490,40,Master's Degree,3,70,5,5,4,10570,24343,8,18,3,3,80,3,29,1,1,13,0,15
No,Travel_Rarely,30-40,Current Employees,Human Resources,Medical,21365,Female,Sales Representative,Single,No,2,30,No,263,40,Bachelor's Degree,5,68,4,4,1,7397,11001,3,11,2,1,80,1,27,2,34,16,3,5
No,Travel_Rarely,40-50,Ex-Employees,Sales,Medical,65022,Female,Human Resources,Divorced,No,4,29,Yes,405,33,Doctoral Degree,2,41,3,3,1,14918,20433,9,30,5,2,80,0,8,3,26,10,4,5
No,Travel_Frequently,50+,Ex-Employees,Research & Development,Other,89024,Male,Human Resources,Married,No,6,50,No,406,22,Bachelor's Degree,4,65,4,4,3,15548,28675,10,19,2,2,80,2,9,3,35,2,7,16
No,Travel_Rarely,<20,Current Employees,Human Resources,Technical Degree,91063,Female,Manager,Married,No,4,55,No,840,40,Doctoral Degree,5,76,3,1,3,15223,23808,6,11,3,4,80,0,37,4,35,13,15,19
No,Travel_Rarely,30-40,Ex-Employees,Sales,Marketing,72978,Female,Human Resources,Divorced,Yes,0,26,Yes,224,6,Master's Degree,4,33,3,2,4,3443,22205,1,19,4,2,80,3,29,3,35,8,10,15
No,Non-Travel,20-30,Ex-Employees,Sales,Technical Degree,4192,Female,Research Scientist,Married,Yes,6,42,Yes,717,30,Master's Degree,3,111,2,1,2,17930,18024,10,30,4,3,80,0,36,4,10,17,0,8
No,Travel_Rarely,40-50,Current Employees,Research & Development,Life Sciences,98211,Female,Laboratory Technician,Divorced,Yes,3,45,Yes,972,38,Bachelor's Degree,1,47,5,1,1,7624,24015,5,30,4,5,80,2,17,4,34,5,10,7
No,Travel_Rarely,30-40,Current Employees,Sales,Marketing,1778,Female,Laboratory Technician,Single,No,1,39,No,430,42,Bachelor's Degree,5,33,3,1,5,1944,26083,7,22,5,4,80,3,27,1,27,14,3,4
No,Travel_Frequently,20-30,Current Employees,Research & Development,Medical,87257,Male,Laboratory Technician,Divorced,No,5,20,No,593,20,Master's Degree,4,104,1,1,4,12729,11697,2,28,3,3,80,3,30,2,19,14,2,2
No,Travel_Frequently,30-40,Ex-Employees,Human Resources,Medical,10279,Male,Sales Executive,Single,No,3,19,No,921,30,Master's Degree,1,109,5,3,5,9583,23362,10,39,3,2,80,2,38,1,28,15,15,3
No,Travel_Rarely,<20,Current Employees,Sales,Medical,25414,Male,Manager,Single,Yes,0,45,No,447,11,Master's Degree,4,119,3,3,2,9098,14923,7,38,2,5,80,1,28,3,26,1,9,18
No,Non-Travel,50+,Ex-Employees,Sales,Life Sciences,78962,Female,Sales Executive,Divorced,No,0,36,No,136,34,Bachelor's Degree,4,71,4,1,4,13509,12539,4,16,3,5,80,0,24,1,30,18,14,20
No,Non-Travel,<20,Current Employees,Sales,Medical,40022,Female,Sales Representative,Divorced,Yes,0,26,Yes,742,34,Bachelor's Degree,1,113,4,2,2,14184,23724,1,26,5,3,80,2,2,5,13,15,1,8
No,Non-Travel,<20,Current Employees,Human Resources,Marketing,16123,Female,Sales Representative,Divorced,No,3,30,Yes,864,30,Bachelor's Degree,3,44,5,2,4,13373,18764,2,38,4,3,80,1,4,1,26,6,11,6
No,Travel_Rarely,50+,Ex-Employees,Research & Development,Marketing,81728,Male,Research Scientist,Single,Yes,2,23,No,489,1,Doctoral Degree,3,66,5,5,2,16231,17093,8,13,2,1,80,0,38,5,24,11,6,3
No,Travel_Rarely,50+,Ex-Employees,Human Resources,Marketing,41883,Female,Laboratory Technician,Married,Yes,3,40,Yes,399,44,Doctoral Degree,3,66,1,2,2,3237,28823,7,13,5,4,80,3,19,2,9,1,6,17
No,Travel_Rarely,30-40,Ex-Employees,Research & Development,Life Sciences,45442,Male,Human Resources,Divorced,Yes,5,18,No,951,16,Associates Degree,5,112,3,2,4,17996,18614,2,30,4,2,80,3,26,4,8,20,0,6
No,Travel_Rarely,<20,Current Employees,Human Resources,Life Sciences,94561,Male,Sales Executive,Single,Yes,2,58,No,457,43,Bachelor's Degree,4,112,4,3,3,19305,12195,7,40,3,1,80,0,35,2,24,13,14,12
No,Travel_Frequently,20-30,Ex-Employees,Sales,Technical Degree,45183,Male,Healthcare Representative,Married,Yes,0,29,No,713,3,Bachelor's Degree,2,106,4,2,5,3090,25965,4,36,3,2,80,1,18,5,9,16,7,2
No,Travel_Rarely,<20,Ex-Employees,Sales,Technical Degree,34627,Female,Sales Executive,Divorced,Yes,2,26,Yes,606,26,Associates Degree,5,60,1,2,2,3721,19516,9,25,1,4,80,0,6,5,13,11,12,11
No,Travel_Frequently,50+,Current Employees,Human Resources,Other,38625,Male,Manager,Divorced,No,5,30,No,761,19,Associates Degree,4,118,5,2,5,10139,10524,5,22,3,4,80,0,5,4,13,10,0,7
No,Non-Travel,30-40,Current Employees,Research & Development,Medical,22718,Male,Manager,Divorced,Yes,2,59,Yes,1318,19,Associates Degree,5,68,3,5,4,2145,12280,3,33,2,5,80,0,28,5,22,2,13,12
No,Travel_Frequently,20-30,Current Employees,Research & Development,Technical Degree,8679,Female,Manager,Married,Yes,4,21,No,837,45,Bachelor's Degree,5,98,1,2,5,6511,12768,3,13,5,1,80,3,2,2,19,13,4,8
No,Travel_Frequently,40-50,Current Employees,Human Resources,Other,98517,Male,Manager,Married,Yes,3,31,Yes,1079,25,Bachelor's Degree,5,63,4,5,3,3741,18955,1,29,4,2,80,3,40,3,3,6,3,10
No,Travel_Rarely,<20,Ex-Employees,Human Resources,Marketing,40177,Female,Manager,Married,No,4,37,No,931,39,Doctoral Degree,1,43,4,2,1,1336,14273,0,32,2,3,80,3,3,2,15,16,9,0
No,Travel_Frequently,50+,Current Employees,Human Resources,Medical,89584,Male,Manager,Married,No,1,41,No,846,37,Doctoral Degree,2,99,5,3,4,19318,15777,5,27,1,2,80,2,21,5,25,18,6,11
No,Travel_Frequently,40-50,Ex-Employees,Sales,Technical Degree,75591,Female,Human Resources,Single,Yes,1,25,No,676,41,Doctoral Degree,2,33,5,3,2,3437,27863,6,36,4,2,80,1,19,5,28,12,0,4
No,Non-Travel,30-40,Ex-Employees,Sales,Technical Degree,77495,Female,Human Resources,Divorced,No,1,49,Yes,1290,45,Bachelor's Degree,5,78,1,3,1,2670,23362,4,17,5,2,80,0,1,3,6,15,14,11
No,Travel_Frequently,20-30,Ex-Employees,Human Resources,Other,7498,Male,Sales Representative,Single,No,3,26,No,284,12,Doctoral Degree,5,117,3,1,2,7794,23239,9,11,3,3,80,0,8,5,34,14,15,15
No,Travel_Rarely,30-40,Ex-Employees,Research & Development,Technical Degree,98581,Male,Healthcare Representative,Divorced,Yes,1,46,No,977,4,Associates Degree,2,31,4,3,5,10534,22730,5,18,3,4,80,3,19,1,39,6,14,13
No,Travel_Rarely,50+,Current Employees,Human Resources,Marketing,16307,Female,Sales Executive,Married,Yes,5,30,No,179,50,Doctoral Degree,4,66,2,4,1,12539,20715,7,18,2,5,80,3,21,2,10,11,14,7
No,Travel_Frequently,<20,Current Employees,Research & Development,Marketing,52064,Female,Sales Representative,Married,No,3,19,Yes,552,17,Bachelor's Degree,3,49,1,3,1,10106,16703,7,35,4,3,80,3,11,4,9,3,13,4
No,Travel_Rarely,<20,Current Employees,Sales,Medical,31248,Male,Laboratory Technician,Divorced,Yes,3,19,Yes,672,27,Bachelor's Degree,4,100,2,3,1,13479,12278,5,12,5,3,80,1,7,3,1,20,5,19
No,Travel_Frequently,<20,Current Employees,Sales,Other,53214,Female,Sales Representative,Single,Yes,5,49,Yes,1299,28,Bachelor's Degree,1,84,3,5,5,18960,23271,6,31,4,5,80,0,19,1,13,3,11,1
No,Travel_Frequently,40-50,Ex-Employees,Human Resources,Other,45532,Male,Research Scientist,Divorced,No,3,33,Yes,356,12,Doctoral Degree,3,52,2,5,2,9386,18174,10,14,5,2,80,0,10,2,36,17,8,6
